autonumber,station_name,station_desc,sample_datetime,sample_datetime_utc,weights,enterococcus_value,tide_range_8665530,tide_hi_8665530,tide_lo_8665530,tide_stage_8665530,tide_range_TEC3127,tide_hi_TEC3127,tide_lo_TEC3127,moon_percent_illumination,moon_phase_angle,carocoops_CAP2_buoy_avg_salinity,carocoops_CAP2_buoy_avg_water_temperature,carocoops_FRP2_buoy_avg_salinity,carocoops_FRP2_buoy_avg_water_temperature,folly_creek_nexrad_summary_24,folly_creek_nexrad_summary_48,folly_creek_nexrad_summary_72,folly_creek_nexrad_summary_96,folly_creek_nexrad_summary_120,folly_creek_nexrad_summary_144,folly_creek_nexrad_summary_168,folly_creek_nexrad_summary_192,folly_creek_nexrad_dry_days_count,folly_creek_nexrad_rainfall_intensity,folly_creek_nexrad_total_1_day_delay,folly_creek_nexrad_total_2_day_delay,folly_creek_nexrad_total_3_day_delay,atlantic_nexrad_summary_24,atlantic_nexrad_summary_48,atlantic_nexrad_summary_72,atlantic_nexrad_summary_96,atlantic_nexrad_summary_120,atlantic_nexrad_summary_144,atlantic_nexrad_summary_168,atlantic_nexrad_summary_192,atlantic_nexrad_dry_days_count,atlantic_nexrad_rainfall_intensity,atlantic_nexrad_total_1_day_delay,atlantic_nexrad_total_2_day_delay,atlantic_nexrad_total_3_day_delay
11,TRI-065,3rd Ave,2006-05-09 11:36:00-04:00,2006-05-09 15:36:00+00:00,0.1,10,4.337,5.451,1.114,4300,4.22798,5.34198,1.114,0.829830989,48.72590163,,,33.20601667,21.08308333,0,0.491248899,0.491248899,0.701612813,0.701612813,0.701612813,0.701612813,0.701612813,1,0,0.491248899,0,0.210363913,0,0.646966879,0.646966879,0.868900012,0.868900012,0.868900012,0.868900012,0.868900012,1,0,0.646966879,0,0.221933133
12,TRI-065,3rd Ave,2006-05-24 10:56:00-04:00,2006-05-24 14:56:00+00:00,0.1,10,6.729,6.543,-0.186,4300,6.59814,6.41214,-0.186,0.130277622,137.6841387,33.171625,22.69031667,33.004575,23.47476667,0,0.021486404,0.023642848,0.023642848,0.023642848,0.024776694,0.024776694,0.024776694,1,0,0.021486404,0.002156443,0,0,0.038650835,0.046433438,0.046433438,0.046433438,0.046433438,0.046433438,0.046433438,1,0,0.038650835,0.007782603,0
13,TRI-065,3rd Ave,2006-06-20 10:42:00-04:00,2006-06-20 14:42:00+00:00,0.1,10,5.446,5.595,0.149,2000,5.3341,5.4831,0.149,0.342956765,108.3056737,33.69310833,26.859425,,,0.000469927,0.000469927,0.000469927,0.000469927,0.000469927,0.000469927,1.322085853,1.350678667,0,0.000198936,0,0,0,0,0,0,0,0,0,1.209602975,1.223574546,6,0,0,0,0
14,TRI-065,3rd Ave,2006-07-11 11:13:00-04:00,2006-07-11 15:13:00+00:00,0.1,10,6.792,6.265,-0.527,4100,6.6667,6.1397,-0.527,0.998056031,5.054033065,35.55966667,26.9798,,,0.000203401,0.000203401,0.000203401,0.000203401,0.355917869,0.355917869,0.355917869,0.355917869,0,8.61E-05,0,0,0,0,0,0,0,0.406753095,0.406753095,0.406753095,0.406753095,4,0,0,0,0
15,TRI-065,3rd Ave,2006-07-25 12:22:00-04:00,2006-07-25 16:22:00+00:00,1,30,6.165,5.553,-0.612,4200,6.05394,5.44194,-0.612,0.001752612,175.2013126,35.08073333,29.7553,,,0.331597364,0.610927521,0.754313504,0.756839623,0.756839623,0.756839623,0.756839623,0.756839623,0,0.023396024,0.279330158,0.143385983,0.002526119,0.530635064,0.696439867,0.713846878,0.724365111,0.724365111,0.724365111,0.724365111,0.724365111,0,0.037439232,0.165804803,0.01740701,0.010518233
16,TRI-065,3rd Ave,2006-08-08 13:40:00-04:00,2006-08-08 17:40:00+00:00,0.1,10,6.46,6.422,-0.038,,6.33156,6.29356,-0.038,0.968284873,20.51675369,35.874925,29.43910833,,,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
17,TRI-065,3rd Ave,2006-10-03 13:14:00-04:00,2006-10-03 17:14:00+00:00,0.1,10,5.463,6.107,0.644,2100,5.34086,5.98486,0.644,0.768688394,57.49475662,34.45789167,25.33966667,34.78110833,25.96763333,0,0,0,0,0.000393701,0.233636491,0.233636491,0.251497687,4,0,0,0,0,0,0,0,0,0.000353816,0.216795241,0.216795241,0.268059586,4,0,0,0,0
18,TRI-065,3rd Ave,2007-05-14 13:05:00-04:00,2007-05-14 17:05:00+00:00,0.1,10,5.502,6.639,1.137,,5.36922,6.50622,1.137,0.115496194,140.2648567,35.30320833,21.87325833,35.051675,21.99235,0.032289921,0.033921288,0.033921288,0.033921288,0.034756265,0.94758792,0.94758792,0.94758792,0,0.004556464,0.001631367,0,0,0.016374224,0.016430105,0.016430105,0.016430105,0.021558745,0.885090323,0.885090323,0.885090323,0,0.002310584,5.59E-05,0,0
19,TRI-065,3rd Ave,2007-05-21 13:44:00-04:00,2007-05-21 17:44:00+00:00,0.1,10,5.987,6.051,0.064,4000,5.86598,5.92998,0.064,0.221736361,123.8159745,35.05160833,22.04808333,34.636275,22.58458333,0,0,0,0.090616599,0.146185171,0.146185171,0.146185171,0.178475093,3,0,0,0,0.090616599,0,0,0,0.083083547,0.122643883,0.122643883,0.122643883,0.139018107,3,0,0,0,0.083083547
20,TRI-065,3rd Ave,2007-06-05 12:39:00-04:00,2007-06-05 16:39:00+00:00,0.1,10,5.794,5.618,-0.176,4000,5.68164,5.50564,-0.176,0.844930896,46.38083045,34.370825,24.20685833,34.57076667,24.45120833,0,0.002010814,1.215188186,1.58924944,1.58924944,1.58924944,1.58924944,1.58924944,1,0,0.002010814,1.213177372,0.374061254,0,0.001009983,1.267819924,1.626208374,1.626208374,1.626208374,1.626208374,1.626208374,1,0,0.001009983,1.266809941,0.358388449
21,TRI-065,3rd Ave,2007-06-18 13:12:00-04:00,2007-06-18 17:12:00+00:00,0.1,10,6.332,6.307,-0.025,4100,6.20586,6.18086,-0.025,0.103017298,142.5576445,34.972575,25.78735833,34.5642,26.25904167,0,0,0.256272134,0.351439887,0.859562589,0.941952599,1.37472953,1.37472953,2,0,0,0.256272134,0.095167753,0,0,0.263013131,0.312725769,0.585579099,0.597412837,0.961159745,0.96126741,2,0,0,0.263013131,0.049712638
22,TRI-065,3rd Ave,2007-07-10 12:45:00-04:00,2007-07-10 16:45:00+00:00,0.1,10,6.831,6.304,-0.527,2100,6.70492,6.17792,-0.527,0.247828524,120.2877458,34.39331667,27.87605833,34.35116667,27.89585,0.010590892,0.054993695,0.643289021,0.645938366,0.645938366,0.645938366,0.646677718,0.650671997,0,0.001494492,0.044402803,0.588295326,0.002649344,0.004434201,0.050905102,0.578043672,0.580866968,0.580866968,0.580866968,0.581654864,0.599031255,0,0.000625715,0.046470901,0.527138569,0.002823296
23,TRI-065,3rd Ave,2007-07-24 13:31:00-04:00,2007-07-24 17:31:00+00:00,1,97,4.593,5.667,1.074,2200,4.47966,5.55366,1.074,0.662746324,71.00457538,35.52814167,26.806925,34.78993333,28.17221667,0,0,0,0.303257154,0.303257154,0.303257154,0.303257154,0.303257154,3,0,0,0,0.303257154,0,0,0,0.24333019,0.24333019,0.24333019,0.24333019,0.24333019,3,0,0,0,0.24333019
24,TRI-065,3rd Ave,2007-08-06 13:23:00-04:00,2007-08-06 17:23:00+00:00,0.1,10,6.086,5.868,-0.218,2300,5.96864,5.75064,-0.218,0.488600311,91.30642128,34.503425,28.69149167,34.11786667,29.010875,0,0,1.36154647,3.274745113,3.274745113,3.279139091,4.546422173,4.546422173,2,0,0,1.36154647,1.913198643,0,0,1.312714868,3.527207487,3.527207487,3.530436011,4.514286885,4.515284902,2,0,0,1.312714868,2.214492619
25,TRI-065,3rd Ave,2007-08-20 12:10:00-04:00,2007-08-20 16:10:00+00:00,0.1,10,4.206,5.097,0.891,2200,4.10406,4.99506,0.891,0.406730274,100.750899,34.51710833,29.875575,34.176175,30.19355,0,0,0,0.061056858,0.061056858,0.061056858,0.062412336,0.062412336,3,0,0,0,0.061056858,0.002231932,0.002231932,0.002231932,0.007607615,0.007607615,0.007607615,0.009052092,0.009052092,0,0.000472425,0,0,0.005375683
26,TRI-065,3rd Ave,2007-09-11 11:50:00-04:00,2007-09-11 15:50:00+00:00,0.1,10,5.882,5.746,-0.136,4200,5.76708,5.63108,-0.136,0.00280918,173.9236056,34.53614167,27.93660833,33.62413333,28.21108333,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
27,TRI-065,3rd Ave,2007-09-25 12:03:00-04:00,2007-09-25 16:03:00+00:00,0.1,10,6.201,6.872,0.671,4300,6.06356,6.73456,0.671,0.953431786,24.92454373,34.91830833,26.40213333,34.19875833,26.3329,0.000477047,0.000477047,0.000624337,0.015625006,0.043824807,0.993223671,0.993223671,0.993223671,0,0.00020195,0,0.00014729,0.015000669,6.27E-05,6.27E-05,6.27E-05,0.06094301,0.083847071,1.207513205,1.207513205,1.207513205,0,2.66E-05,0,0,0.060880285
28,TRI-065,3rd Ave,2007-10-08 13:25:00-04:00,2007-10-08 17:25:00+00:00,0.1,10,5.049,6.163,1.114,,4.92574,6.03974,1.114,0.093973489,144.297005,35.44789167,25.62834167,34.612575,25.41996667,0,0,0.072569446,0.246167113,2.071298418,2.597878732,2.597878732,2.597878732,2,0,0,0.072569446,0.173597666,0,0.001891054,0.212419798,0.41378196,2.807822818,3.39132763,3.39132763,3.39132763,1,0,0.001891054,0.210528744,0.201362162
29,TRI-065,3rd Ave,2008-04-21 14:12:00-04:00,2008-04-21 18:12:00+00:00,0.1,10,5.849,6.179,0.33,4300,5.72542,6.05542,0.33,0.995312037,7.852078342,34.20684167,18.62046667,34.53731667,18.94639167,0,0.152942651,0.152942651,0.152942651,0.152942651,0.152942651,0.16933498,0.16933498,1,0,0.152942651,0,0,0,0.052381513,0.052381513,0.052381513,0.052381513,0.052381513,0.069396664,0.069396664,1,0,0.052381513,0,0
30,TRI-065,3rd Ave,2008-05-13 11:34:00-04:00,2008-05-13 15:34:00+00:00,0.1,10,4.997,5.435,0.438,2100,4.8883,5.3263,0.438,0.589527241,79.6853091,34.316175,22.5123,34.66071667,22.19645833,0,0.532800412,1.960192356,1.962510236,2.030901188,2.030901188,2.030901188,2.039702285,1,0,0.532800412,1.427391944,0.00231788,0,0.145529719,1.302992647,1.30612983,1.344881639,1.344881639,1.344881639,1.345111652,1,0,0.145529719,1.157462927,0.003137183
31,TRI-065,3rd Ave,2008-05-20 12:05:00-04:00,2008-05-20 16:05:00+00:00,0.1,10,5.574,5.884,0.31,4200,5.45632,5.76632,0.31,0.998055593,5.054603715,34.593475,22.94758333,33.36894167,23.164925,0,0,0.01356852,0.030565756,0.030565756,0.030565756,0.030565756,0.030565756,2,0,0,0.01356852,0.016997237,0,0,0.011436106,0.022153546,0.022153546,0.022153546,0.022153546,0.022153546,2,0,0,0.011436106,0.01071744
32,TRI-065,3rd Ave,2008-06-04 12:02:00-04:00,2008-06-04 16:02:00+00:00,0.1,10,7.929,6.917,-1.012,4200,7.79066,6.77866,-1.012,0.002158402,174.6743193,33.879325,25.331625,34.263075,25.57748333,0,0.036885021,0.327363008,0.327363008,0.327363008,0.327363008,0.508307141,0.508307141,1,0,0.036885021,0.290477987,0,0,0.008422514,0.34764724,0.34764724,0.34764724,0.34764724,0.612036985,0.612036985,1,0,0.008422514,0.339224725,0
33,TRI-065,3rd Ave,2008-06-17 11:40:00-04:00,2008-06-17 15:40:00+00:00,0.1,10,5.243,5.408,0.165,4200,5.13484,5.29984,0.165,0.97137194,19.482418,34.14353333,27.27,34.4663,28.1515,0,0.070461854,0.070461854,0.070461854,0.070461854,0.070461854,0.070461854,0.070461854,1,0,0.070461854,0,0,0,0.03048805,0.03048805,0.03048805,0.048525706,0.048525706,0.048525706,0.048525706,1,0,0.03048805,0,0
34,TRI-065,3rd Ave,2008-07-09 10:33:00-04:00,2008-07-09 14:33:00+00:00,0.1,10,5.282,5.054,-0.228,2100,5.18092,4.95292,-0.228,0.38254847,103.5859086,34.82548333,28.441825,35.67765,28.285925,0,0.056508221,0.122102888,0.144131554,0.148334732,0.148334732,0.148334732,0.148334732,1,0,0.056508221,0.065594667,0.022028666,0,0.047151784,0.060315398,0.07379692,0.096964731,0.096964731,0.096964731,0.096964731,1,0,0.047151784,0.013163614,0.013481522
35,TRI-065,3rd Ave,2008-07-09 10:49:00-04:00,2008-07-09 14:49:00+00:00,0.1,10,5.282,5.054,-0.228,2100,5.18092,4.95292,-0.228,0.38254847,103.5859086,34.82548333,28.441825,35.67765,28.285925,0,0.056508221,0.122102888,0.144131554,0.148334732,0.148334732,0.148334732,0.148334732,1,0,0.056508221,0.065594667,0.022028666,0,0.047151784,0.060315398,0.07379692,0.096964731,0.096964731,0.096964731,0.096964731,1,0,0.047151784,0.013163614,0.013481522
36,TRI-065,3rd Ave,2008-07-22 10:37:00-04:00,2008-07-22 14:37:00+00:00,0.1,10,5.45,5.648,0.198,2300,5.33704,5.53504,0.198,0.867922368,42.62135661,34.41422727,28.3784,35.551,29.15336667,0.018920532,0.020337624,0.020337624,0.03775882,0.26845835,0.361439286,0.716034414,0.716034414,0,0.008009688,0.001417091,0,0.017421197,0.037714836,0.039224971,0.039224971,0.090885149,0.546165661,0.589804432,0.673486178,0.673486178,0,0.015965939,0.001510135,0,0.051660178
37,TRI-065,3rd Ave,2008-08-12 10:58:00-04:00,2008-08-12 14:58:00+00:00,1,20,4.17,5.415,1.245,2000,4.0617,5.3067,1.245,0.783265976,55.49125946,34.81991667,28.64845833,,,0,0.001721494,0.001721494,0.067371151,0.360388934,0.360388934,0.360388934,0.360388934,1,0,0.001721494,0,0.065649657,0,0.000111511,0.000111511,0.013484688,0.234167622,0.234551875,0.234551875,0.234551875,1,0,0.000111511,0,0.013373177
38,TRI-065,3rd Ave,2008-08-26 11:50:00-04:00,2008-08-26 15:50:00+00:00,0.1,10,5.856,6.248,0.392,2000,5.73104,6.12304,0.392,0.277172447,116.4652599,35.01533333,27.34643333,,,0.008048534,0.435888206,0.689670795,2.178399128,4.059325687,4.732328309,4.794936155,4.794936155,0,0.003407211,0.427839673,0.253782589,1.488728333,0.003456938,0.293798922,0.414572299,1.954000508,3.710718011,4.600221962,4.788790021,4.79019863,0,0.001463436,0.290341984,0.120773377,1.539428209
39,TRI-065,3rd Ave,2008-09-09 13:28:00-04:00,2008-09-09 17:28:00+00:00,0.1,10,3.806,5.205,1.399,2200,3.7019,5.1009,1.399,0.633727701,74.48709556,34.8446,28.047,,,0.157303537,0.161046912,0.161046912,3.584977178,3.622690886,3.622690886,3.622690886,3.644054913,0,0.013318359,0.003743376,0,3.423930266,0.126020443,0.130001705,0.130001705,3.945163648,4.0815431,4.0815431,4.0815431,4.109616504,0,0.010669725,0.003981261,0,3.815161944
40,TRI-065,3rd Ave,2008-09-30 10:19:00-04:00,2008-09-30 14:19:00+00:00,0.1,10,5.647,6.183,0.536,4000,5.52334,6.05934,0.536,0.006051676,171.0766186,34.8446,28.047,,,0,0,0,0,0.822484815,0.824319819,0.824319819,0.824319819,4,0,0,0,0,0,0,0,0,0.800912047,0.801194788,0.801194788,0.80574456,4,0,0,0,0
41,TRI-065,3rd Ave,2008-10-07 10:50:00-04:00,2008-10-07 14:50:00+00:00,1,20,3.796,5.602,1.806,2100,3.68396,5.48996,1.806,0.465220783,93.98862553,34.8446,28.047,,,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
42,TRI-065,3rd Ave,2009-05-06 11:14:00-04:00,2009-05-06 15:14:00+00:00,0.1,10,5.889,5.385,-0.504,4300,5.7813,5.2773,-0.504,0.894278568,37.94912274,33.7859125,21.46085833,32.27331905,22.18357143,0.439743577,0.439743577,0.439743577,0.439743577,0.439743577,0.439743577,0.439743577,0.439743577,0,0.037231603,0,0,0,0.41839878,0.41839878,0.41839878,0.41839878,0.41839878,0.41839878,0.41839878,0.41839878,0,0.044280514,0,0,0
43,TRI-065,3rd Ave,2009-05-26 11:04:00-04:00,2009-05-26 15:04:00+00:00,0.1,10,7.723,6.937,-0.786,4000,7.58426,6.79826,-0.786,0.033276218,158.9787681,34.11442083,22.88681667,33.71125789,21.81054737,0.004234901,0.089481511,1.102984105,1.102984105,1.146011772,1.146011772,1.146011772,1.163034946,0,0.000358555,0.08524661,1.013502594,0,0.002968985,0.092318926,1.393612845,1.393612845,1.421166562,1.421166562,1.421166562,1.458664545,0,0.000251374,0.089349941,1.301293919,0
44,TRI-065,3rd Ave,2009-06-03 11:29:00-04:00,2009-06-03 15:29:00+00:00,0.1,10,5.371,5.91,0.539,2000,5.2528,5.7918,0.539,0.788469,54.76453517,33.87107083,10709.61945,33.1757,25.0938,0,0,0,0,0.08858059,0.08858059,0.08858059,0.08858059,4,0,0,0,0,0,0,0,0,0.036864375,0.036864375,0.036864375,0.036864375,4,0,0,0,0
45,TRI-065,3rd Ave,2009-06-17 11:04:00-04:00,2009-06-17 15:04:00+00:00,0.1,10,4.577,5.799,1.222,2100,4.46102,5.68302,1.222,0.391896337,102.4863681,33.80790833,27.76832083,33.16668261,27.62228696,0.665075506,1.341156813,1.446014107,1.485471859,1.657976366,2.052649475,2.364578583,2.548808704,0,0.040221211,0.676081306,0.104857294,0.039457752,0.536950849,1.166513873,1.245450106,1.257315825,1.387144051,1.73918686,2.027611765,2.221192962,0,0.032472724,0.629563024,0.078936233,0.01186572
46,TRI-065,3rd Ave,2009-07-07 10:52:00-04:00,2009-07-07 14:52:00+00:00,0.1,10,5.833,6.071,0.238,4100,5.71158,5.94958,0.238,0.998400254,4.584521154,34.6023,27.143275,32.88625789,28.35426316,0.502010273,0.624820163,0.624820163,0.624820163,0.624820163,0.624820163,0.624820163,1.297040096,0,0.042503513,0.12280989,0,0,0.480336726,0.578749839,0.578749839,0.580329895,0.580329895,0.580329895,0.580329895,1.000754168,0,0.050835609,0.098413113,0,0.001580056
47,TRI-065,3rd Ave,2009-07-21 11:12:00-04:00,2009-07-21 15:12:00+00:00,0.1,10,7.658,6.724,-0.934,4200,7.52352,6.58952,-0.934,0.019076042,164.122311,33.631275,28.05329167,32.98885,27.9005,0.03996719,0.055051978,0.055051978,0.055140865,0.320088658,0.320088658,0.320088658,0.465493977,0,0.016919435,0.015084788,0,8.89E-05,0.074274147,0.115017798,0.115017798,0.115017798,0.239684732,0.239684732,0.239684732,0.368884503,0,0.031442705,0.040743651,0,0
48,TRI-065,3rd Ave,2009-08-05 11:51:00-04:00,2009-08-05 15:51:00+00:00,0.1,10,5.403,5.303,-0.1,4200,5.29694,5.19694,-0.1,0.990312332,11.29707379,34.7514375,27.7723375,31.95256,28.736345,0.024958186,0.104725431,0.278762305,0.28073391,0.328556052,0.553011481,1.46552552,1.495377916,0,0.010565626,0.079767245,0.174036874,0.001971605,0.007125394,0.063195831,0.21228137,0.223733922,0.349484462,0.493189885,1.307142117,1.420417372,0,0.003016415,0.056070437,0.149085538,0.011452553
49,TRI-065,3rd Ave,2009-08-18 11:30:00-04:00,2009-08-18 15:30:00+00:00,0.1,10,6.755,6.878,0.123,4300,6.61744,6.74044,0.123,0.085357083,146.0254456,35.61145,27.58443333,32.23953636,28.32943636,0,0.001088324,0.001088324,0.013081266,1.182563301,1.559628766,1.559628766,1.559628766,1,0,0.001088324,0,0.011992942,0,0,0,0.001187182,0.855042098,1.164412671,1.164412671,1.164412671,3,0,0,0,0.001187182
50,TRI-065,3rd Ave,2009-09-02 11:14:00-04:00,2009-09-02 15:14:00+00:00,0.1,10,4.941,6.274,1.333,4200,4.81552,6.14852,1.333,0.9347156,29.60739152,35.50514167,27.38009583,32.29912381,28.19315714,0,2.854241741,3.526385274,3.526385274,3.761177079,3.953665848,3.987273312,3.995622089,1,0,2.854241741,0.672143533,0,0,2.359215078,2.598263733,2.636439069,2.895472546,3.031536256,3.032978,3.037061943,1,0,2.359215078,0.239048656,0.038175335
51,TRI-065,3rd Ave,2009-09-15 11:21:00-04:00,2009-09-15 15:21:00+00:00,0.1,10,5.528,7.18,1.652,4300,5.3844,7.0364,1.652,0.189502419,128.388843,35.57619167,25.79525417,32.825575,26.29350417,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
52,TRI-065,3rd Ave,2009-10-14 10:52:00-04:00,2009-10-14 14:52:00+00:00,0.1,10,5.548,6.343,0.795,4300,5.42114,6.21614,0.795,0.217146449,124.4514081,35.2620375,24.58829167,32.87456111,23.89004211,0,0.252636525,0.252636525,0.317363248,0.325886335,0.325886335,0.325886335,0.325886335,1,0,0.252636525,0,0.064726723,0.000340937,0.120053656,0.120053656,0.175657056,0.183804676,0.183804676,0.183804676,0.183804676,0,0.00014433,0.119712718,0,0.0556034
53,TRI-065,3rd Ave,2010-04-20 10:40:00-04:00,2010-04-20 14:40:00+00:00,0.1,10,5.345,5.717,0.372,2200,5.23066,5.60266,0.372,0.307492616,112.6446571,,,33.72485882,19.12652941,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
54,TRI-065,3rd Ave,2010-05-04 11:40:00-04:00,2010-05-04 15:40:00+00:00,0.1,10,4.944,4.949,0.005,2200,4.84502,4.85002,0.005,0.703744317,65.95282799,32.91933478,21.12624783,31.95557391,21.89868696,0.025739092,0.025739092,0.025739092,0.025739092,0.025739092,0.025739092,0.025739092,0.025739092,0,0.002724052,0,0,0,0.009954523,0.009954523,0.009954523,0.009954523,0.009954523,0.009954523,0.009954523,0.009954523,0,0.00105352,0,0,0
